Duration_Days,Economic_Loss_USD,Deaths,Total_Affected,Disaster_Type,label
28,43000.0,867.0,22000000.0,Flood,0
8,173000.0,179.0,252016.0,Flood,0
33,691500.0,884.0,24600000.0,Flood,0
275,588000.0,20.0,50000000.0,Drought,0
0,2623000.0,20005.0,6321812.0,Earthquake,0
2,90000.0,100.0,9670000.0,Flood,0
12,116924.0,86.0,40000.0,Flood,0
0,26000.0,158.0,7000000.0,Flood,0
0,26000.0,48.0,2800000.0,Flood,0
0,416.0,9.0,5050.0,Storm,0
68,30772.0,549.0,42000000.0,Flood,0
2,20000.0,33.0,50.0,Flood,0
0,16000.0,30.0,485910.0,Storm,0
0,28000.0,50.0,40000.0,Storm,0
54,169000.0,67.0,3000000.0,Flood,0
42,2500000.0,900.0,33000000.0,Flood,0
0,1022800.0,16389.0,654512.0,Earthquake,0
38,276000.0,210.0,100000.0,Flood,0
6,50000.0,250.0,5000.0,Mass movement (wet),0
17,2300000.0,239.0,405000.0,Flood,0
3,23000.0,6.0,5000.0,Flood,0
12,3330000.0,1200.0,20000055.0,Flood,0
6,420000.0,89.0,550000.0,Flood,0
0,1000000.0,1309.0,156622.0,Earthquake,0
3,117000.0,19.0,2250000.0,Flood,0
46,3390000.0,350.0,4000065.0,Flood,0
11,275000.0,80.0,7200000.0,Flood,0
4,101151.0,44.0,35000.0,Flood,0
8,2000.0,37.0,10278.0,Flood,0
40,123000.0,1063.0,7900000.0,Flood,0
9,20000.0,47.0,2600000.0,Flood,0
0,25000.0,111.0,50.0,Storm,0
62,220000.0,992.0,1886000.0,Flood,0
17,2150000.0,355.0,4100000.0,Flood,0
5,64000.0,70.0,8.0,Flood,0
10,447000.0,53.0,400000.0,Flood,0
12,1680000.0,200.0,3267183.0,Flood,0
34,275000.0,47.0,700000.0,Flood,0
30,930000.0,239.0,3443989.0,Flood,0
10,432000.0,42.0,2100000.0,Flood,0
1,375625.0,47.0,250000.0,Storm,0
5,110000.0,30.0,1200.0,Flood,0
2,20000.0,45.0,200.0,Flood,0
4,98000.0,21.0,2000000.0,Flood,0
2,16000.0,26.0,9460.0,Flood,0
0,120000.0,3.0,59350.0,Earthquake,0
15,1100000.0,6054.0,504473.0,Flood,0
1,2000.0,174.0,500000.0,Flood,0
5,260000.0,72.0,375000.0,Flood,0
2,633471.0,47.0,13230000.0,Storm,0
2,2000.0,27.0,18500.0,Flood,0
1,200000.0,35.0,179000.0,Flood,0
0,16000000.0,298.0,275000.0,Flood,0
17,163000.0,95.0,650000.0,Flood,0
0,7000000.0,53.0,920000.0,Storm,0
7,100000.0,47.0,3600000.0,Flood,0
11,76000.0,44.0,2122.0,Flood,0
1,3000.0,1.0,10000.0,Storm,0
0,160000.0,100.0,125100.0,Storm,0
1,604000.0,81.0,9000.0,Flood,0
26,2200000.0,325.0,1801000.0,Flood,0
0,75000.0,8.0,10808.0,Earthquake,0
3,150000.0,18.0,100000.0,Flood,0
2,150000.0,50.0,2000000.0,Flood,0
59,350000.0,254.0,1600000.0,Flood,0
44,160000.0,184.0,100000.0,Flood,0
8,589000.0,28.0,3000.0,Flood,0
61,250000.0,284.0,520000.0,Flood,0
20,1567000.0,514.0,17200000.0,Flood,0
0,300000.0,14.0,12.0,Flood,0
0,100000.0,42.0,200.0,Storm,0
0,100000.0,18.0,22050.0,Storm,0
9,24000.0,143.0,200.0,Storm,0
3,50000.0,32.0,21000.0,Storm,0
3,10000.0,15.0,11728.0,Flood,0
2,2500.0,12.0,4945.0,Flood,0
13,2852480.0,504.0,23220000.0,Flood,0
1,920000.0,85.0,300200.0,Storm,0
0,775000.0,45.0,500000.0,Storm,0
2,100000.0,8.0,10000.0,Storm,0
0,1810000.0,50.0,20000000.0,Storm,0
78,10000000.0,1900.0,3000000.0,Flood,0
0,13500000.0,90.0,18000000.0,Storm,0
0,820000.0,6.0,7500.0,Storm,0
76,7500000.0,1922.0,1300000.0,Flood,0
25,4000000.0,152.0,150000.0,Flood,0
5,1400000.0,198.0,700153.0,Storm,0
4,3000000.0,19.0,1625000.0,Storm,0
29,100000.0,59.0,1000.0,Flood,0
121,3100000.0,1282.0,375000.0,Flood,0
167,4200000.0,2035.0,1301260.0,Flood,0
16,3000.0,62.0,5.0,Flood,0
1,125000.0,20.0,4390000.0,Storm,0
